Tool,Optimization Target,Cell Type,Capacity (KB),Total Area (um^2),Read Latency (ns),Write Latency (ns),Read Bandwidth (GB/s),Write Bandwidth (GB/s),Read Dynamic Energy (pJ),Write Dynamic Energy (pJ),Leakage Power (uW)
Destiny,ReadLatency,3D_RRAM,16,99060.7,1.57996,20.0704,10.6414,0.799,315.508,621.725,2461.68
Destiny,ReadLatency,3D_RRAM,32,164425,1.60799,20.0844,10.6414,0.799,321.347,627.563,4923.35
Destiny,ReadLatency,3D_RRAM,64,167720,1.64784,20.1143,10.3702,0.797,285.562,630.225,4934.61
Destiny,ReadLatency,3D_RRAM,128,174163,1.68428,20.1167,10.1778,0.798,267.61,631.493,4967.04
Destiny,ReadLatency,3D_RRAM,256,104569,1.70972,20.233,9.59956,0.797,264.799,648.033,627.309
Destiny,ReadLatency,3D_RRAM,512,174956,1.74073,20.2485,9.59956,0.797,271.792,655.027,1254.62
Destiny,ReadLatency,3D_RRAM,1024,136754,1.75013,20.2591,9.50219,0.796,272.146,655.049,1257.22
Destiny,ReadLatency,3D_RRAM,2048,239083,1.78587,20.277,9.50219,0.796,278.601,661.504,2514.44
Destiny,ReadLatency,3D_RRAM,4096,161466,1.81467,20.4934,7.23358,0.788,277.563,715.671,1311.55
Destiny,WriteLatency,3D_RRAM,16,119123,1.58127,20.0688,10.6703,0.799,277.83,623.398,2461.68
Destiny,WriteLatency,3D_RRAM,32,164425,1.60799,20.0844,10.6414,0.799,321.347,627.563,4923.35
Destiny,WriteLatency,3D_RRAM,64,104051,1.65203,20.1005,10.1778,0.798,262.395,626.278,2483.52
Destiny,WriteLatency,3D_RRAM,128,174163,1.68428,20.1167,10.1778,0.798,267.61,631.493,4967.04
Destiny,WriteLatency,3D_RRAM,256,176088,1.73833,20.1711,10.1782,0.797,270.298,634.469,4970.8
Destiny,WriteLatency,3D_RRAM,512,108496,1.74323,20.1974,10.0701,0.797,267.782,633.678,2492.78
Destiny,WriteLatency,3D_RRAM,1024,182810,1.77939,20.2155,10.0701,0.797,274.435,640.331,4985.57
Destiny,WriteLatency,3D_RRAM,2048,189428,1.84164,20.2576,9.81541,0.796,278.503,651.3,2511.79
Destiny,WriteLatency,3D_RRAM,4096,344432,1.88275,20.2782,9.81541,0.796,285.633,658.429,5023.57
Destiny,ReadDynamicEnergy,3D_RRAM,16,280125,1.81312,20.1811,10.1778,0.798,44.4326,408.316,620.88
Destiny,ReadDynamicEnergy,3D_RRAM,32,667765,2.3575,20.4833,10.2451,0.795,57.74,421.764,1243.37
Destiny,ReadDynamicEnergy,3D_RRAM,64,483314,2.02264,20.2975,9.91921,0.794,48.113,410.779,1267.03
Destiny,ReadDynamicEnergy,3D_RRAM,128,966627,2.57263,20.5725,9.91921,0.794,64.8628,427.529,2534.05
Destiny,ReadDynamicEnergy,3D_RRAM,256,1091260.0,2.45032,20.4668,9.16191,0.794,66.3536,426.227,2721.73
Destiny,ReadDynamicEnergy,3D_RRAM,512,2182510.0,3.143,20.8131,9.16191,0.794,85.4509,445.324,5443.46
Destiny,ReadDynamicEnergy,3D_RRAM,1024,3263030.0,3.43229,20.9428,9.08209,0.795,112.362,472.08,11143.0
Destiny,ReadDynamicEnergy,3D_RRAM,2048,5340290.0,4.673,21.4448,7.94826,0.794,127.573,481.861,13723.1
Destiny,ReadDynamicEnergy,3D_RRAM,4096,5373660.0,4.67301,21.4448,7.94826,0.794,142.375,496.664,27446.2
Destiny,WriteDynamicEnergy,3D_RRAM,16,280125,1.81312,20.1811,10.1778,0.798,44.4326,408.316,620.88
Destiny,WriteDynamicEnergy,3D_RRAM,32,667765,2.3575,20.4833,10.2451,0.795,57.74,421.764,1243.37
Destiny,WriteDynamicEnergy,3D_RRAM,64,483314,2.02264,20.2975,9.91921,0.794,48.113,410.779,1267.03
Destiny,WriteDynamicEnergy,3D_RRAM,128,966627,2.57263,20.5725,9.91921,0.794,64.8628,427.529,2534.05
Destiny,WriteDynamicEnergy,3D_RRAM,256,1091260.0,2.45032,20.4668,9.16191,0.794,66.3536,426.227,2721.73
Destiny,WriteDynamicEnergy,3D_RRAM,512,2182510.0,3.143,20.8131,9.16191,0.794,85.4509,445.324,5443.46
Destiny,WriteDynamicEnergy,3D_RRAM,1024,3263030.0,3.43229,20.9428,9.08209,0.795,112.362,472.08,11143.0
Destiny,WriteDynamicEnergy,3D_RRAM,2048,5340290.0,4.673,21.4448,7.94826,0.794,127.573,481.861,13723.1
Destiny,WriteDynamicEnergy,3D_RRAM,4096,5373660.0,4.67301,21.4448,7.94826,0.794,142.375,496.664,27446.2
Destiny,ReadEDP,3D_RRAM,16,280125,1.81312,20.1811,10.1778,0.798,44.4326,408.316,620.88
Destiny,ReadEDP,3D_RRAM,32,312687,1.81313,20.1811,10.1778,0.798,58.5622,422.445,1241.76
Destiny,ReadEDP,3D_RRAM,64,483314,2.02264,20.2975,9.91921,0.794,48.113,410.779,1267.03
Destiny,ReadEDP,3D_RRAM,128,986694,2.16735,20.3458,9.80925,0.796,75.1785,437.691,2573.18
Destiny,ReadEDP,3D_RRAM,256,1091260.0,2.45032,20.4668,9.16191,0.794,66.3536,426.227,2721.73
Destiny,ReadEDP,3D_RRAM,512,1124300.0,2.45034,20.4668,9.16191,0.794,80.887,440.76,5443.46
Destiny,ReadEDP,3D_RRAM,1024,2215640.0,3.14301,20.8131,9.16191,0.794,100.052,459.925,10886.9
Destiny,ReadEDP,3D_RRAM,2048,5340290.0,4.673,21.4448,7.94826,0.794,127.573,481.861,13723.1
Destiny,ReadEDP,3D_RRAM,4096,5373660.0,4.67301,21.4448,7.94826,0.794,142.375,496.664,27446.2
Destiny,WriteEDP,3D_RRAM,16,280125,1.81312,20.1811,10.1778,0.798,44.4326,408.316,620.88
Destiny,WriteEDP,3D_RRAM,32,312687,1.81313,20.1811,10.1778,0.798,58.5622,422.445,1241.76
Destiny,WriteEDP,3D_RRAM,64,483314,2.02264,20.2975,9.91921,0.794,48.113,410.779,1267.03
Destiny,WriteEDP,3D_RRAM,128,966627,2.57263,20.5725,9.91921,0.794,64.8628,427.529,2534.05
Destiny,WriteEDP,3D_RRAM,256,1091260.0,2.45032,20.4668,9.16191,0.794,66.3536,426.227,2721.73
Destiny,WriteEDP,3D_RRAM,512,1124300.0,2.45034,20.4668,9.16191,0.794,80.887,440.76,5443.46
Destiny,WriteEDP,3D_RRAM,1024,2215640.0,3.14301,20.8131,9.16191,0.794,100.052,459.925,10886.9
Destiny,WriteEDP,3D_RRAM,2048,5340290.0,4.673,21.4448,7.94826,0.794,127.573,481.861,13723.1
Destiny,WriteEDP,3D_RRAM,4096,5373660.0,4.67301,21.4448,7.94826,0.794,142.375,496.664,27446.2
Destiny,LeakagePower,3D_RRAM,16,89729.5,1.72168,20.2019,10.3191,0.798,34.0525,400.854,154.949
Destiny,LeakagePower,3D_RRAM,32,74152,1.74306,20.1973,10.0701,0.797,33.6334,399.529,155.799
Destiny,LeakagePower,3D_RRAM,64,195949,1.78064,20.245,10.0148,0.797,40.4511,414.153,155.964
Destiny,LeakagePower,3D_RRAM,128,154841,1.84147,20.2575,9.81541,0.796,41.3272,414.124,156.987
Destiny,LeakagePower,3D_RRAM,256,167146,1.84518,20.2889,9.32269,0.795,42.2339,424.231,158.413
Destiny,LeakagePower,3D_RRAM,512,191711,1.89891,20.3977,8.4654,0.793,43.7063,444.105,161.323
Destiny,LeakagePower,3D_RRAM,1024,235557,1.92016,20.5289,7.12926,0.788,46.0839,483.286,166.78
Destiny,LeakagePower,3D_RRAM,2048,322118,1.99586,20.8213,5.36999,0.778,50.4968,561.305,177.953
Destiny,LeakagePower,3D_RRAM,4096,231871,2.15947,20.9135,5.24853,0.774,40.2823,549.868,191.67
Destiny,Area,3D_RRAM,16,172462,1.68412,20.1166,10.1778,0.798,50.4847,414.368,620.88
Destiny,Area,3D_RRAM,32,172705,1.68414,20.1166,10.1778,0.798,79.0804,442.964,1241.76
Destiny,Area,3D_RRAM,64,104051,1.65203,20.1005,10.1778,0.798,262.395,626.278,2483.52
Destiny,Area,3D_RRAM,128,174163,1.68428,20.1167,10.1778,0.798,267.61,631.493,4967.04
Destiny,Area,3D_RRAM,256,176088,1.73833,20.1711,10.1782,0.797,270.298,634.469,4970.8
Destiny,Area,3D_RRAM,512,108496,1.74323,20.1974,10.0701,0.797,267.782,633.678,2492.78
Destiny,Area,3D_RRAM,1024,182810,1.77939,20.2155,10.0701,0.797,274.435,640.331,4985.57
Destiny,Area,3D_RRAM,2048,331195,1.92403,20.2878,10.0701,0.797,284.037,649.933,9971.13
Destiny,Area,3D_RRAM,4096,288582,2.01242,20.3532,9.79297,0.793,279.829,644.508,10169.7
Destiny,ReadLatency,RRAM_MLC,16,71774.9,0.023,0.022,,,49.6714,5.36563,310.747
Destiny,ReadLatency,RRAM_MLC,32,143550,0.025,0.024,,,50.784,6.47829,621.493
Destiny,ReadLatency,RRAM_MLC,64,281498,0.025,0.024,,,99.3063,10.7257,1240.17
Destiny,ReadLatency,RRAM_MLC,128,562996,0.035,0.029,,,101.564,12.9833,2480.33
Destiny,ReadLatency,RRAM_MLC,256,1118050.0,0.035,0.029,,,198.632,21.5242,4956.59
Destiny,ReadLatency,RRAM_MLC,512,2236090.0,0.075,0.049,,,203.211,26.1039,9913.17
Destiny,ReadLatency,RRAM_MLC,1024,4442930.0,0.075,0.049,,,397.259,43.0976,19812.1
Destiny,ReadLatency,RRAM_MLC,2048,4373370.0,0.118,0.092,,,166.02,42.8167,10207.8
Destiny,ReadLatency,RRAM_MLC,4096,17713700.0,0.236,0.129,,,794.641,86.3724,79220.0
Destiny,WriteLatency,RRAM_MLC,16,71774.9,0.023,0.022,,,49.6714,5.36563,310.747
Destiny,WriteLatency,RRAM_MLC,32,143550,0.025,0.024,,,50.784,6.47829,621.493
Destiny,WriteLatency,RRAM_MLC,64,281498,0.025,0.024,,,99.3063,10.7257,1240.17
Destiny,WriteLatency,RRAM_MLC,128,562996,0.035,0.029,,,101.564,12.9833,2480.33
Destiny,WriteLatency,RRAM_MLC,256,1118050.0,0.035,0.029,,,198.632,21.5242,4956.59
Destiny,WriteLatency,RRAM_MLC,512,2236090.0,0.075,0.049,,,203.211,26.1039,9913.17
Destiny,WriteLatency,RRAM_MLC,1024,4442930.0,0.075,0.049,,,397.259,43.0976,19812.1
Destiny,WriteLatency,RRAM_MLC,2048,4373370.0,0.118,0.092,,,166.02,42.8167,10207.8
Destiny,WriteLatency,RRAM_MLC,4096,17713700.0,0.236,0.129,,,794.641,86.3724,79220.0
Destiny,ReadDynamicEnergy,RRAM_MLC,16,71819.5,0.025,0.023,,,26.4418,4.26773,312.163
Destiny,ReadDynamicEnergy,RRAM_MLC,32,143639,0.034,0.028,,,28.5847,6.41065,624.326
Destiny,ReadDynamicEnergy,RRAM_MLC,64,172286,0.071,0.069,,,32.0253,6.96603,633.888
Destiny,ReadDynamicEnergy,RRAM_MLC,128,344573,0.085,0.076,,,34.733,9.67376,1267.78
Destiny,ReadDynamicEnergy,RRAM_MLC,256,689145,0.143,0.105,,,40.1871,15.1279,2535.55
Destiny,ReadDynamicEnergy,RRAM_MLC,512,941980,0.104,0.085,,,46.9523,16.1114,2612.12
Destiny,ReadDynamicEnergy,RRAM_MLC,1024,1883960.0,0.216,0.141,,,54.6646,23.8236,5224.24
Destiny,ReadDynamicEnergy,RRAM_MLC,2048,3767920.0,0.665,0.365,,,70.1969,39.356,10448.5
Destiny,ReadDynamicEnergy,RRAM_MLC,4096,4017280.0,1.79856,0.988,,,95.2748,64.4029,10803.9
Destiny,WriteDynamicEnergy,RRAM_MLC,16,71819.5,0.025,0.023,,,26.4418,4.26773,312.163
Destiny,WriteDynamicEnergy,RRAM_MLC,32,143639,0.034,0.028,,,28.5847,6.41065,624.326
Destiny,WriteDynamicEnergy,RRAM_MLC,64,172286,0.071,0.069,,,32.0253,6.96603,633.888
Destiny,WriteDynamicEnergy,RRAM_MLC,128,344573,0.085,0.076,,,34.733,9.67376,1267.78
Destiny,WriteDynamicEnergy,RRAM_MLC,256,470990,0.076,0.071,,,43.1232,12.2822,1306.06
Destiny,WriteDynamicEnergy,RRAM_MLC,512,941980,0.104,0.085,,,46.9523,16.1114,2612.12
Destiny,WriteDynamicEnergy,RRAM_MLC,1024,1883960.0,0.216,0.141,,,54.6646,23.8236,5224.24
Destiny,WriteDynamicEnergy,RRAM_MLC,2048,4071350.0,0.243,0.155,,,95.3626,33.7344,10318.3
Destiny,WriteDynamicEnergy,RRAM_MLC,4096,8142690.0,0.775,0.421,,,112.388,50.7597,20636.7
Destiny,ReadEDP,RRAM_MLC,16,71819.5,0.025,0.023,,,26.4418,4.26773,312.163
Destiny,ReadEDP,RRAM_MLC,32,143639,0.034,0.028,,,28.5847,6.41065,624.326
Destiny,ReadEDP,RRAM_MLC,64,287100,0.035,0.029,,,53.0255,8.71973,1242.99
Destiny,ReadEDP,RRAM_MLC,128,344573,0.085,0.076,,,34.733,9.67376,1267.78
Destiny,ReadEDP,RRAM_MLC,256,470990,0.076,0.071,,,43.1232,12.2822,1306.06
Destiny,ReadEDP,RRAM_MLC,512,941980,0.104,0.085,,,46.9523,16.1114,2612.12
Destiny,ReadEDP,RRAM_MLC,1024,2035670.0,0.11,0.088,,,86.9087,25.2804,5159.17
Destiny,ReadEDP,RRAM_MLC,2048,4373370.0,0.118,0.092,,,166.02,42.8167,10207.8
Destiny,ReadEDP,RRAM_MLC,4096,8088740.0,0.243,0.155,,,173.843,50.6399,20416.4
Destiny,WriteEDP,RRAM_MLC,16,71819.5,0.025,0.023,,,26.4418,4.26773,312.163
Destiny,WriteEDP,RRAM_MLC,32,143550,0.025,0.024,,,50.784,6.47829,621.493
Destiny,WriteEDP,RRAM_MLC,64,287100,0.035,0.029,,,53.0255,8.71973,1242.99
Destiny,WriteEDP,RRAM_MLC,128,562996,0.035,0.029,,,101.564,12.9833,2480.33
Destiny,WriteEDP,RRAM_MLC,256,1118050.0,0.035,0.029,,,198.632,21.5242,4956.59
Destiny,WriteEDP,RRAM_MLC,512,2236090.0,0.075,0.049,,,203.211,26.1039,9913.17
Destiny,WriteEDP,RRAM_MLC,1024,4442930.0,0.075,0.049,,,397.259,43.0976,19812.1
Destiny,WriteEDP,RRAM_MLC,2048,4373370.0,0.118,0.092,,,166.02,42.8167,10207.8
Destiny,WriteEDP,RRAM_MLC,4096,8088740.0,0.243,0.155,,,173.843,50.6399,20416.4
Destiny,LeakagePower,RRAM_MLC,16,26657.3,0.117,0.109,,,27.3685,7.2611,77.3505
Destiny,LeakagePower,RRAM_MLC,32,29221.2,0.123,0.115,,,27.6956,7.58816,77.5318
Destiny,LeakagePower,RRAM_MLC,64,34011,0.126,0.118,469.939,,28.2169,8.10941,77.854
Destiny,LeakagePower,RRAM_MLC,128,68022.1,0.14,0.125,469.939,,31.1109,11.0034,155.708
Destiny,LeakagePower,RRAM_MLC,256,58934.9,0.156,0.153,,,24.8565,4.12489,156.281
Destiny,LeakagePower,RRAM_MLC,512,80631.7,0.177,0.175,,,26.681,4.50661,157.497
Destiny,LeakagePower,RRAM_MLC,1024,127500,0.216,0.215,,,31.3814,6.32146,159.888
Destiny,LeakagePower,RRAM_MLC,2048,213219,0.267,0.263,,,32.5891,7.52822,161.282
Destiny,LeakagePower,RRAM_MLC,4096,384767,0.285,0.274,,,35.0167,9.95356,164.029
Destiny,Area,RRAM_MLC,16,71819.5,0.025,0.023,,,26.4418,4.26773,312.163
Destiny,Area,RRAM_MLC,32,143639,0.034,0.028,,,28.5847,6.41065,624.326
Destiny,Area,RRAM_MLC,64,287278,0.072,0.047,,,32.9016,10.7276,1248.65
Destiny,Area,RRAM_MLC,128,574556,0.22,0.121,,,41.5975,19.4235,2497.3
Destiny,Area,RRAM_MLC,256,631282,0.38,0.239,,,48.6102,26.3939,2521.22
Destiny,Area,RRAM_MLC,512,1636870.0,0.821,0.444,,,76.3752,51.0199,5523.53
Destiny,Area,RRAM_MLC,1024,1692420.0,0.862,0.473,,,77.7009,52.3457,5528.95
Destiny,Area,RRAM_MLC,2048,3384830.0,1.84309,0.964,,,100.759,75.4041,11057.9
Destiny,Area,RRAM_MLC,4096,3384060.0,1.99302,1.06789,,,98.3361,73.1499,10698.2
