Tool,Isolation,Optimization Target,Cell Type,Capacity (KB),Total Area (um^2),Read Latency (ns),Write Latency (ns),Read Bandwidth (GB/s),Write Bandwidth (GB/s),Read Dynamic Energy (pJ),Write Dynamic Energy (pJ),Leakage Power (uW)
Destiny,iso_area,ReadLatency,STTRAM,16,72878.8,1.53123,10.0569,10.8595,1.59588,265.89,363.111,2464.18
Destiny,iso_area,ReadLatency,STTRAM,32,112062,1.55343,10.068,10.8595,1.59588,270.286,367.508,4928.35
Destiny,iso_area,ReadLatency,STTRAM,64,113801,1.60666,10.1206,10.8417,1.59433,272.89,370.117,4931.51
Destiny,iso_area,ReadLatency,STTRAM,128,77293.1,1.62149,10.1463,10.7612,1.59426,271.155,368.416,2471.94
Destiny,iso_area,ReadLatency,STTRAM,256,120647,1.64858,10.1599,10.7612,1.59426,277.07,374.331,4943.89
Destiny,iso_area,ReadLatency,STTRAM,512,77737.7,1.67455,10.1953,10.1156,1.58811,275.711,373.288,1253.4
Destiny,iso_area,ReadLatency,STTRAM,1024,121293,1.68806,10.2021,10.1156,1.58811,281.009,378.587,2506.8
Destiny,iso_area,ReadLatency,STTRAM,2048,208162,1.74211,10.2291,10.1156,1.58811,287.749,385.326,5013.6
Destiny,iso_area,ReadLatency,STTRAM,4096,205876,1.81259,10.2881,8.31438,1.58794,291.803,390.455,2623.7
Destiny,iso_area,ReadLatency,SRAM,16,38552.5,0.03,0.029,742.573,667.538,229.929,229.735,7.46493
Destiny,iso_area,ReadLatency,SRAM,32,43409,0.036,0.032,742.573,667.538,232.589,232.395,14.9299
Destiny,iso_area,ReadLatency,SRAM,64,53428.5,0.054,0.048,489.215,421.442,236.148,235.763,27.5784
Destiny,iso_area,ReadLatency,SRAM,128,55972.7,0.076,0.068,482.788,380.472,237.743,237.352,37.067
Destiny,iso_area,ReadLatency,SRAM,256,80424.3,0.102,0.09,373.83,280.426,242.465,241.685,73.2387
Destiny,iso_area,ReadLatency,SRAM,512,104266,0.137,0.119,234.602,194.872,245.238,244.704,122.111
Destiny,iso_area,ReadLatency,SRAM,1024,172814,0.184,0.152,211.607,163.797,252.148,251.083,228.057
Destiny,iso_area,ReadLatency,SRAM,2048,203108,0.252,0.211,190.131,167.909,255.931,254.181,266.258
Destiny,iso_area,ReadLatency,SRAM,4096,281358,0.37,0.305,120.884,99.5623,262.035,260.519,447.798
Destiny,iso_area,ReadLatency,RRAM,16,99060.7,1.57996,20.0704,10.6414,0.799,315.508,621.725,2461.68
Destiny,iso_area,ReadLatency,RRAM,32,164425,1.60799,20.0844,10.6414,0.799,321.347,627.563,4923.35
Destiny,iso_area,ReadLatency,RRAM,64,167720,1.64784,20.1143,10.3702,0.797,285.562,630.225,4934.61
Destiny,iso_area,ReadLatency,RRAM,128,174163,1.68428,20.1167,10.1778,0.798,267.61,631.493,4967.04
Destiny,iso_area,ReadLatency,RRAM,256,104569,1.70972,20.233,9.59956,0.797,264.799,648.033,627.309
Destiny,iso_area,ReadLatency,RRAM,512,174956,1.74073,20.2485,9.59956,0.797,271.792,655.027,1254.62
Destiny,iso_area,ReadLatency,RRAM,1024,136754,1.75013,20.2591,9.50219,0.796,272.146,655.049,1257.22
Destiny,iso_area,ReadLatency,RRAM,2048,239083,1.78587,20.277,9.50219,0.796,278.601,661.504,2514.44
Destiny,iso_area,ReadLatency,RRAM,4096,161466,1.81467,20.4934,7.23358,0.788,277.563,715.671,1311.55
Destiny,iso_area,ReadLatency,PCRAM,16,41054.6,0.044,150.025,492.303,0.107,290.67,11750.9,7.97047
Destiny,iso_area,ReadLatency,PCRAM,32,48413.2,0.055,150.031,492.303,0.107,293.986,11754.2,15.9409
Destiny,iso_area,ReadLatency,PCRAM,64,60342.9,0.076,150.044,406.374,0.107,358.245,11758.6,28.7566
Destiny,iso_area,ReadLatency,PCRAM,128,53263.3,0.088,150.06,368.628,0.107,366.446,11758.0,33.7767
Destiny,iso_area,ReadLatency,PCRAM,256,46385.2,0.119,150.094,312.539,0.107,420.267,11758.6,22.6074
Destiny,iso_area,ReadLatency,PCRAM,512,63378,0.133,150.104,361.181,0.107,494.581,11761.9,33.2127
Destiny,iso_area,ReadLatency,PCRAM,1024,72629.1,0.15,150.116,262.906,0.107,639.976,11765.4,49.8847
Destiny,iso_area,ReadLatency,PCRAM,2048,89514.9,0.178,150.132,171.159,0.107,927.508,11769.1,81.8684
Destiny,iso_area,ReadLatency,PCRAM,4096,105008,0.231,150.175,117.704,0.107,1611.24,11773.4,175.142
Destiny,iso_area,WriteLatency,STTRAM,16,72878.8,1.53123,10.0569,10.8595,1.59588,265.89,363.111,2464.18
Destiny,iso_area,WriteLatency,STTRAM,32,112062,1.55343,10.068,10.8595,1.59588,270.286,367.508,4928.35
Destiny,iso_area,WriteLatency,STTRAM,64,190427,1.64222,10.1124,10.8595,1.59588,278.795,376.016,9856.7
Destiny,iso_area,WriteLatency,STTRAM,128,77293.1,1.62149,10.1463,10.7612,1.59426,271.155,368.416,2471.94
Destiny,iso_area,WriteLatency,STTRAM,256,120647,1.64858,10.1599,10.7612,1.59426,277.07,374.331,4943.89
Destiny,iso_area,WriteLatency,STTRAM,512,77737.7,1.67455,10.1953,10.1156,1.58811,275.711,373.288,1253.4
Destiny,iso_area,WriteLatency,STTRAM,1024,121293,1.68806,10.2021,10.1156,1.58811,281.009,378.587,2506.8
Destiny,iso_area,WriteLatency,STTRAM,2048,208162,1.74211,10.2291,10.1156,1.58811,287.749,385.326,5013.6
Destiny,iso_area,WriteLatency,STTRAM,4096,205876,1.81259,10.2881,8.31438,1.58794,291.803,390.455,2623.7
Destiny,iso_area,WriteLatency,SRAM,16,38552.5,0.03,0.029,742.573,667.538,229.929,229.735,7.46493
Destiny,iso_area,WriteLatency,SRAM,32,43409,0.036,0.032,742.573,667.538,232.589,232.395,14.9299
Destiny,iso_area,WriteLatency,SRAM,64,53428.5,0.054,0.048,489.215,421.442,236.148,235.763,27.5784
Destiny,iso_area,WriteLatency,SRAM,128,72918,0.084,0.063,489.215,421.442,240.957,240.572,55.1569
Destiny,iso_area,WriteLatency,SRAM,256,80424.3,0.102,0.09,373.83,280.426,242.465,241.685,73.2387
Destiny,iso_area,WriteLatency,SRAM,512,104266,0.137,0.119,234.602,194.872,245.238,244.704,122.111
Destiny,iso_area,WriteLatency,SRAM,1024,155749,0.19,0.151,210.547,178.478,251.32,250.832,267.584
Destiny,iso_area,WriteLatency,SRAM,2048,295300,0.265,0.197,191.038,151.326,258.918,257.946,471.897
Destiny,iso_area,WriteLatency,SRAM,4096,396124,0.399,0.288,170.986,140.64,265.83,264.794,660.679
Destiny,iso_area,WriteLatency,RRAM,16,119123,1.58127,20.0688,10.6703,0.799,277.83,623.398,2461.68
Destiny,iso_area,WriteLatency,RRAM,32,164425,1.60799,20.0844,10.6414,0.799,321.347,627.563,4923.35
Destiny,iso_area,WriteLatency,RRAM,64,104051,1.65203,20.1005,10.1778,0.798,262.395,626.278,2483.52
Destiny,iso_area,WriteLatency,RRAM,128,174163,1.68428,20.1167,10.1778,0.798,267.61,631.493,4967.04
Destiny,iso_area,WriteLatency,RRAM,256,176088,1.73833,20.1711,10.1782,0.797,270.298,634.469,4970.8
Destiny,iso_area,WriteLatency,RRAM,512,108496,1.74323,20.1974,10.0701,0.797,267.782,633.678,2492.78
Destiny,iso_area,WriteLatency,RRAM,1024,182810,1.77939,20.2155,10.0701,0.797,274.435,640.331,4985.57
Destiny,iso_area,WriteLatency,RRAM,2048,189428,1.84164,20.2576,9.81541,0.796,278.503,651.3,2511.79
Destiny,iso_area,WriteLatency,RRAM,4096,344432,1.88275,20.2782,9.81541,0.796,285.633,658.429,5023.57
Destiny,iso_area,WriteLatency,PCRAM,16,41054.6,0.044,150.025,492.303,0.107,290.67,11750.9,7.97047
Destiny,iso_area,WriteLatency,PCRAM,32,48413.2,0.055,150.031,492.303,0.107,293.986,11754.2,15.9409
Destiny,iso_area,WriteLatency,PCRAM,64,60342.9,0.076,150.044,406.374,0.107,358.245,11758.6,28.7566
Destiny,iso_area,WriteLatency,PCRAM,128,53263.3,0.088,150.06,368.628,0.107,366.446,11758.0,33.7767
Destiny,iso_area,WriteLatency,PCRAM,256,46385.2,0.119,150.094,312.539,0.107,420.267,11758.6,22.6074
Destiny,iso_area,WriteLatency,PCRAM,512,58588.4,0.136,150.103,312.539,0.107,424.18,11762.5,45.2148
Destiny,iso_area,WriteLatency,PCRAM,1024,92574,0.156,150.115,361.181,0.107,499.954,11767.3,66.4254
Destiny,iso_area,WriteLatency,PCRAM,2048,89514.9,0.178,150.132,171.159,0.107,927.508,11769.1,81.8684
Destiny,iso_area,WriteLatency,PCRAM,4096,130459,0.237,150.175,155.891,0.107,1044.57,11774.9,271.448
Destiny,iso_area,ReadDynamicEnergy,STTRAM,16,389405,1.81276,10.2394,10.5895,1.58104,55.539,152.265,1241.81
Destiny,iso_area,ReadDynamicEnergy,STTRAM,32,778811,2.25915,10.4626,10.5895,1.58104,70.4137,167.139,2483.62
Destiny,iso_area,ReadDynamicEnergy,STTRAM,64,842637,2.05067,10.369,10.478,1.57573,67.9006,163.784,2527.48
Destiny,iso_area,ReadDynamicEnergy,STTRAM,128,1685270.0,2.71568,10.7015,10.478,1.57573,86.3362,182.22,5054.96
Destiny,iso_area,ReadDynamicEnergy,STTRAM,256,2368380.0,2.81952,10.7273,10.4903,1.58389,110.469,206.226,10266.8
Destiny,iso_area,ReadDynamicEnergy,STTRAM,512,4250380.0,3.99365,11.3692,10.4619,1.56199,117.282,211.588,10456.5
Destiny,iso_area,ReadDynamicEnergy,STTRAM,1024,5278410.0,4.17798,11.3999,10.2681,1.58104,145.377,239.429,22148.9
Destiny,iso_area,ReadDynamicEnergy,STTRAM,2048,5278650.0,4.178,11.3999,10.2681,1.58104,175.184,269.236,44297.8
Destiny,iso_area,ReadDynamicEnergy,STTRAM,4096,5279140.0,4.17804,11.3999,10.2681,1.58104,237.22,331.272,88595.6
Destiny,iso_area,ReadDynamicEnergy,SRAM,16,48779.6,0.14,0.113,282.43,241.469,10.9063,10.649,5.72252
Destiny,iso_area,ReadDynamicEnergy,SRAM,32,94133.2,0.153,0.126,233.496,204.778,12.7686,12.2961,13.4895
Destiny,iso_area,ReadDynamicEnergy,SRAM,64,188266,0.276,0.188,233.496,204.778,20.6576,20.1851,26.9791
Destiny,iso_area,ReadDynamicEnergy,SRAM,128,221071,0.276,0.188,233.496,204.778,34.9891,34.5166,53.9581
Destiny,iso_area,ReadDynamicEnergy,SRAM,256,221314,0.276,0.188,233.496,204.778,64.2576,63.7852,107.916
Destiny,iso_area,ReadDynamicEnergy,SRAM,512,221800,0.276,0.188,233.496,204.778,125.217,124.745,215.833
Destiny,iso_area,ReadDynamicEnergy,SRAM,1024,222772,0.277,0.188,233.496,204.778,256.825,256.352,431.665
Destiny,iso_area,ReadDynamicEnergy,SRAM,2048,386862,0.387,0.276,123.416,109.725,263.058,262.166,986.154
Destiny,iso_area,ReadDynamicEnergy,SRAM,4096,481254,0.511,0.346,118.21,101.762,269.835,268.91,1176.73
Destiny,iso_area,ReadDynamicEnergy,RRAM,16,280125,1.81312,20.1811,10.1778,0.798,44.4326,408.316,620.88
Destiny,iso_area,ReadDynamicEnergy,RRAM,32,667765,2.3575,20.4833,10.2451,0.795,57.74,421.764,1243.37
Destiny,iso_area,ReadDynamicEnergy,RRAM,64,483314,2.02264,20.2975,9.91921,0.794,48.113,410.779,1267.03
Destiny,iso_area,ReadDynamicEnergy,RRAM,128,966627,2.57263,20.5725,9.91921,0.794,64.8628,427.529,2534.05
Destiny,iso_area,ReadDynamicEnergy,RRAM,256,1091260.0,2.45032,20.4668,9.16191,0.794,66.3536,426.227,2721.73
Destiny,iso_area,ReadDynamicEnergy,RRAM,512,2182510.0,3.143,20.8131,9.16191,0.794,85.4509,445.324,5443.46
Destiny,iso_area,ReadDynamicEnergy,RRAM,1024,3263030.0,3.43229,20.9428,9.08209,0.795,112.362,472.08,11143.0
Destiny,iso_area,ReadDynamicEnergy,RRAM,2048,5340290.0,4.673,21.4448,7.94826,0.794,127.573,481.861,13723.1
Destiny,iso_area,ReadDynamicEnergy,RRAM,4096,5373660.0,4.67301,21.4448,7.94826,0.794,142.375,496.664,27446.2
Destiny,iso_area,ReadDynamicEnergy,PCRAM,16,47441.2,0.055,150.031,492.303,0.107,166.684,11626.9,7.97047
Destiny,iso_area,ReadDynamicEnergy,PCRAM,32,81812.6,0.162,150.107,186.542,0.107,265.678,11546.3,47.1998
Destiny,iso_area,ReadDynamicEnergy,PCRAM,64,82055.6,0.162,150.107,186.542,0.107,294.543,11575.2,94.3997
Destiny,iso_area,ReadDynamicEnergy,PCRAM,128,82541.6,0.162,150.107,186.542,0.107,354.695,11635.4,188.799
Destiny,iso_area,ReadDynamicEnergy,PCRAM,256,83513.6,0.162,150.107,186.542,0.107,484.687,11765.3,377.599
Destiny,iso_area,ReadDynamicEnergy,PCRAM,512,85497.3,0.175,150.119,177.055,0.107,503.923,11766.8,382.817
Destiny,iso_area,ReadDynamicEnergy,PCRAM,1024,90445.1,0.216,150.154,170.082,0.107,542.386,11769.8,392.713
Destiny,iso_area,ReadDynamicEnergy,PCRAM,2048,150723,0.245,150.16,361.181,0.107,507.71,11775.1,132.851
Destiny,iso_area,ReadDynamicEnergy,PCRAM,4096,138828,0.263,150.192,189.917,0.107,760.876,11775.2,352.009
Destiny,iso_area,WriteDynamicEnergy,STTRAM,16,389405,1.81276,10.2394,10.5895,1.58104,55.539,152.265,1241.81
Destiny,iso_area,WriteDynamicEnergy,STTRAM,32,778811,2.25915,10.4626,10.5895,1.58104,70.4137,167.139,2483.62
Destiny,iso_area,WriteDynamicEnergy,STTRAM,64,842637,2.05067,10.369,10.478,1.57573,67.9006,163.784,2527.48
Destiny,iso_area,WriteDynamicEnergy,STTRAM,128,1685270.0,2.71568,10.7015,10.478,1.57573,86.3362,182.22,5054.96
Destiny,iso_area,WriteDynamicEnergy,STTRAM,256,2368380.0,2.81952,10.7273,10.4903,1.58389,110.469,206.226,10266.8
Destiny,iso_area,WriteDynamicEnergy,STTRAM,512,4250380.0,3.99365,11.3692,10.4619,1.56199,117.282,211.588,10456.5
Destiny,iso_area,WriteDynamicEnergy,STTRAM,1024,5278410.0,4.17798,11.3999,10.2681,1.58104,145.377,239.429,22148.9
Destiny,iso_area,WriteDynamicEnergy,STTRAM,2048,5278650.0,4.178,11.3999,10.2681,1.58104,175.184,269.236,44297.8
Destiny,iso_area,WriteDynamicEnergy,STTRAM,4096,5279140.0,4.17804,11.3999,10.2681,1.58104,237.22,331.272,88595.6
Destiny,iso_area,WriteDynamicEnergy,SRAM,16,48779.6,0.14,0.113,282.43,241.469,10.9063,10.649,5.72252
Destiny,iso_area,WriteDynamicEnergy,SRAM,32,94133.2,0.153,0.126,233.496,204.778,12.7686,12.2961,13.4895
Destiny,iso_area,WriteDynamicEnergy,SRAM,64,188266,0.276,0.188,233.496,204.778,20.6576,20.1851,26.9791
Destiny,iso_area,WriteDynamicEnergy,SRAM,128,221071,0.276,0.188,233.496,204.778,34.9891,34.5166,53.9581
Destiny,iso_area,WriteDynamicEnergy,SRAM,256,221314,0.276,0.188,233.496,204.778,64.2576,63.7852,107.916
Destiny,iso_area,WriteDynamicEnergy,SRAM,512,221800,0.276,0.188,233.496,204.778,125.217,124.745,215.833
Destiny,iso_area,WriteDynamicEnergy,SRAM,1024,222772,0.277,0.188,233.496,204.778,256.825,256.352,431.665
Destiny,iso_area,WriteDynamicEnergy,SRAM,2048,386862,0.387,0.276,123.416,109.725,263.058,262.166,986.154
Destiny,iso_area,WriteDynamicEnergy,SRAM,4096,481254,0.511,0.346,118.21,101.762,269.835,268.91,1176.73
Destiny,iso_area,WriteDynamicEnergy,RRAM,16,280125,1.81312,20.1811,10.1778,0.798,44.4326,408.316,620.88
Destiny,iso_area,WriteDynamicEnergy,RRAM,32,667765,2.3575,20.4833,10.2451,0.795,57.74,421.764,1243.37
Destiny,iso_area,WriteDynamicEnergy,RRAM,64,483314,2.02264,20.2975,9.91921,0.794,48.113,410.779,1267.03
Destiny,iso_area,WriteDynamicEnergy,RRAM,128,966627,2.57263,20.5725,9.91921,0.794,64.8628,427.529,2534.05
Destiny,iso_area,WriteDynamicEnergy,RRAM,256,1091260.0,2.45032,20.4668,9.16191,0.794,66.3536,426.227,2721.73
Destiny,iso_area,WriteDynamicEnergy,RRAM,512,2182510.0,3.143,20.8131,9.16191,0.794,85.4509,445.324,5443.46
Destiny,iso_area,WriteDynamicEnergy,RRAM,1024,3263030.0,3.43229,20.9428,9.08209,0.795,112.362,472.08,11143.0
Destiny,iso_area,WriteDynamicEnergy,RRAM,2048,5340290.0,4.673,21.4448,7.94826,0.794,127.573,481.861,13723.1
Destiny,iso_area,WriteDynamicEnergy,RRAM,4096,5373660.0,4.67301,21.4448,7.94826,0.794,142.375,496.664,27446.2
Destiny,iso_area,WriteDynamicEnergy,PCRAM,16,49250.6,0.162,150.107,186.542,0.107,251.548,11532.2,23.5999
Destiny,iso_area,WriteDynamicEnergy,PCRAM,32,81812.6,0.162,150.107,186.542,0.107,265.678,11546.3,47.1998
Destiny,iso_area,WriteDynamicEnergy,PCRAM,64,140280,0.284,150.178,108.897,0.107,498.629,11539.8,128.885
Destiny,iso_area,WriteDynamicEnergy,PCRAM,128,173085,0.284,150.178,108.897,0.107,512.96,11554.2,257.77
Destiny,iso_area,WriteDynamicEnergy,PCRAM,256,518061,0.768,150.409,79.7082,0.107,999.14,11561.2,745.385
Destiny,iso_area,WriteDynamicEnergy,PCRAM,512,551109,0.768,150.409,79.7082,0.107,1013.67,11575.7,1490.77
Destiny,iso_area,WriteDynamicEnergy,PCRAM,1024,551352,0.768,150.409,79.7082,0.107,1043.35,11605.4,2981.54
Destiny,iso_area,WriteDynamicEnergy,PCRAM,2048,551838,0.768,150.409,79.7082,0.107,1105.11,11667.2,5963.08
Destiny,iso_area,WriteDynamicEnergy,PCRAM,4096,552810,0.769,150.409,79.7082,0.107,1238.34,11800.4,11926.2
Destiny,iso_area,ReadEDP,STTRAM,16,389405,1.81276,10.2394,10.5895,1.58104,55.539,152.265,1241.81
Destiny,iso_area,ReadEDP,STTRAM,32,598414,1.83307,10.2293,10.6803,1.5874,75.1886,172.025,2474.66
Destiny,iso_area,ReadEDP,STTRAM,64,842637,2.05067,10.369,10.478,1.57573,67.9006,163.784,2527.48
Destiny,iso_area,ReadEDP,STTRAM,128,1200550.0,2.1545,10.3948,10.4903,1.58389,91.944,187.702,5133.39
Destiny,iso_area,ReadEDP,STTRAM,256,1948220.0,2.73214,10.6927,10.4801,1.58104,104.594,200.429,10176.4
Destiny,iso_area,ReadEDP,STTRAM,512,2368620.0,2.81954,10.7273,10.4903,1.58389,139.872,235.63,20533.5
Destiny,iso_area,ReadEDP,STTRAM,1024,4283510.0,3.99366,11.3692,10.4619,1.56199,131.883,226.188,20912.9
Destiny,iso_area,ReadEDP,STTRAM,2048,5278650.0,4.178,11.3999,10.2681,1.58104,175.184,269.236,44297.8
Destiny,iso_area,ReadEDP,STTRAM,4096,5279140.0,4.17804,11.3999,10.2681,1.58104,237.22,331.272,88595.6
Destiny,iso_area,ReadEDP,SRAM,16,48779.6,0.14,0.113,282.43,241.469,10.9063,10.649,5.72252
Destiny,iso_area,ReadEDP,SRAM,32,94133.2,0.153,0.126,233.496,204.778,12.7686,12.2961,13.4895
Destiny,iso_area,ReadEDP,SRAM,64,126776,0.153,0.126,233.496,204.778,26.9655,26.4931,26.9791
Destiny,iso_area,ReadEDP,SRAM,128,127019,0.153,0.126,233.496,204.778,55.9649,55.4925,53.9581
Destiny,iso_area,ReadEDP,SRAM,256,221314,0.276,0.188,233.496,204.778,64.2576,63.7852,107.916
Destiny,iso_area,ReadEDP,SRAM,512,221800,0.276,0.188,233.496,204.778,125.217,124.745,215.833
Destiny,iso_area,ReadEDP,SRAM,1024,222772,0.277,0.188,233.496,204.778,256.825,256.352,431.665
Destiny,iso_area,ReadEDP,SRAM,2048,295300,0.265,0.197,191.038,151.326,258.918,257.946,471.897
Destiny,iso_area,ReadEDP,SRAM,4096,396124,0.399,0.288,170.986,140.64,265.83,264.794,660.679
Destiny,iso_area,ReadEDP,RRAM,16,280125,1.81312,20.1811,10.1778,0.798,44.4326,408.316,620.88
Destiny,iso_area,ReadEDP,RRAM,32,312687,1.81313,20.1811,10.1778,0.798,58.5622,422.445,1241.76
Destiny,iso_area,ReadEDP,RRAM,64,483314,2.02264,20.2975,9.91921,0.794,48.113,410.779,1267.03
Destiny,iso_area,ReadEDP,RRAM,128,986694,2.16735,20.3458,9.80925,0.796,75.1785,437.691,2573.18
Destiny,iso_area,ReadEDP,RRAM,256,1091260.0,2.45032,20.4668,9.16191,0.794,66.3536,426.227,2721.73
Destiny,iso_area,ReadEDP,RRAM,512,1124300.0,2.45034,20.4668,9.16191,0.794,80.887,440.76,5443.46
Destiny,iso_area,ReadEDP,RRAM,1024,2215640.0,3.14301,20.8131,9.16191,0.794,100.052,459.925,10886.9
Destiny,iso_area,ReadEDP,RRAM,2048,5340290.0,4.673,21.4448,7.94826,0.794,127.573,481.861,13723.1
Destiny,iso_area,ReadEDP,RRAM,4096,5373660.0,4.67301,21.4448,7.94826,0.794,142.375,496.664,27446.2
Destiny,iso_area,ReadEDP,PCRAM,16,47441.2,0.055,150.031,492.303,0.107,166.684,11626.9,7.97047
Destiny,iso_area,ReadEDP,PCRAM,32,48413.2,0.055,150.031,492.303,0.107,293.986,11754.2,15.9409
Destiny,iso_area,ReadEDP,PCRAM,64,60342.9,0.076,150.044,406.374,0.107,358.245,11758.6,28.7566
Destiny,iso_area,ReadEDP,PCRAM,128,53263.3,0.088,150.06,368.628,0.107,366.446,11758.0,33.7767
Destiny,iso_area,ReadEDP,PCRAM,256,55337.9,0.124,150.095,343.798,0.107,386.775,11760.6,37.8021
Destiny,iso_area,ReadEDP,PCRAM,512,58588.4,0.136,150.103,312.539,0.107,424.18,11762.5,45.2148
Destiny,iso_area,ReadEDP,PCRAM,1024,92574,0.156,150.115,361.181,0.107,499.954,11767.3,66.4254
Destiny,iso_area,ReadEDP,PCRAM,2048,110833,0.189,150.135,262.906,0.107,645.418,11770.9,99.7694
Destiny,iso_area,ReadEDP,PCRAM,4096,138828,0.263,150.192,189.917,0.107,760.876,11775.2,352.009
Destiny,iso_area,WriteEDP,STTRAM,16,389405,1.81276,10.2394,10.5895,1.58104,55.539,152.265,1241.81
Destiny,iso_area,WriteEDP,STTRAM,32,778811,2.25915,10.4626,10.5895,1.58104,70.4137,167.139,2483.62
Destiny,iso_area,WriteEDP,STTRAM,64,842637,2.05067,10.369,10.478,1.57573,67.9006,163.784,2527.48
Destiny,iso_area,WriteEDP,STTRAM,128,1685270.0,2.71568,10.7015,10.478,1.57573,86.3362,182.22,5054.96
Destiny,iso_area,WriteEDP,STTRAM,256,2368380.0,2.81952,10.7273,10.4903,1.58389,110.469,206.226,10266.8
Destiny,iso_area,WriteEDP,STTRAM,512,4250380.0,3.99365,11.3692,10.4619,1.56199,117.282,211.588,10456.5
Destiny,iso_area,WriteEDP,STTRAM,1024,5278410.0,4.17798,11.3999,10.2681,1.58104,145.377,239.429,22148.9
Destiny,iso_area,WriteEDP,STTRAM,2048,5278650.0,4.178,11.3999,10.2681,1.58104,175.184,269.236,44297.8
Destiny,iso_area,WriteEDP,STTRAM,4096,5279140.0,4.17804,11.3999,10.2681,1.58104,237.22,331.272,88595.6
Destiny,iso_area,WriteEDP,SRAM,16,48779.6,0.14,0.113,282.43,241.469,10.9063,10.649,5.72252
