Configuration,Total Area (um^2),Read Latency (ns),Write Latency (ns),Read Bandwidth (GB/s),Write Bandwidth (GB/s),Read Dynamic Energy (pJ),Write Dynamic Energy (pJ),Leakage Power (uW)
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/STTRAM/16KB/16KB.out,86384.290,1.648,10.160,10.761,1.594,43.931,141.192,308.993
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/STTRAM/32KB/32KB.out,43393.687,1.674,10.195,10.116,1.588,41.562,139.140,78.337
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/STTRAM/64KB/64KB.out,86787.374,1.688,10.202,10.116,1.588,44.843,142.420,156.675
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/STTRAM/128KB/128KB.out,173574.749,1.742,10.229,10.116,1.588,50.572,148.150,313.350
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/STTRAM/256KB/256KB.out,171126.657,1.812,10.288,8.314,1.588,52.608,151.261,163.981
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/STTRAM/512KB/512KB.out,246291.778,1.911,10.386,8.281,1.575,51.041,149.182,176.874
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/STTRAM/1024KB/1024KB.out,543128.201,2.064,10.438,9.965,1.572,63.214,159.449,665.295
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/STTRAM/2048KB/2048KB.out,775236.794,2.216,10.548,8.213,1.570,68.275,165.540,382.681
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/STTRAM/4096KB/4096KB.out,1550000.0,2.664,10.772,8.213,1.570,83.964,181.228,765.362
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/SRAM/16KB/16KB.out,46161.307,0.102,0.09,373.830,280.426,9.326,8.545,4.577
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/SRAM/32KB/32KB.out,69922.156,0.137,0.119,234.602,194.872,11.090,10.556,7.632
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/SRAM/64KB/64KB.out,138308.477,0.184,0.152,211.607,163.797,15.981,14.917,14.254
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/SRAM/128KB/128KB.out,168520.648,0.252,0.211,190.131,167.909,18.754,17.005,16.641
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/SRAM/256KB/256KB.out,246608.565,0.37,0.304,120.884,99.562,22.841,21.324,27.987
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/SRAM/512KB/512KB.out,585999.508,0.54,0.406,145.645,94.246,33.654,31.083,83.385
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/SRAM/1024KB/1024KB.out,892661.510,0.754,0.544,80.837,70.941,43.117,38.944,121.209
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/SRAM/2048KB/2048KB.out,1593000.0,1.154,0.77,74.786,59.551,62.400,54.081,229.041
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/SRAM/4096KB/4096KB.out,3010000.0,1.855,1.141,48.276,52.669,85.759,73.098,427.646
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/RRAM/16KB/16KB.out,70316.972,1.708,20.299,9.606,0.794,32.066,93.016,39.240
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/RRAM/32KB/32KB.out,140633.944,1.739,20.315,9.606,0.794,38.051,99.001,78.479
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/RRAM/64KB/64KB.out,72897.909,1.770,20.362,9.398,0.791,32.666,93.168,78.768
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/RRAM/128KB/128KB.out,145795.817,1.807,20.381,9.398,0.791,37.380,97.882,157.536
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/RRAM/256KB/256KB.out,91158.558,1.852,20.477,7.121,0.789,37.553,109.267,82.086
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/RRAM/512KB/512KB.out,256288.978,1.909,20.494,7.114,0.789,50.507,122.339,168.852
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/RRAM/1024KB/1024KB.out,239589.012,1.950,20.508,7.039,0.789,55.451,126.470,181.583
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/RRAM/2048KB/2048KB.out,327564.767,2.013,20.621,5.343,0.786,66.547,152.163,194.460
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/RRAM/4096KB/4096KB.out,655129.534,2.197,20.713,5.343,0.786,77.818,163.434,388.921
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/PCRAM/16KB/16KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/PCRAM/32KB/32KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/PCRAM/64KB/64KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/PCRAM/128KB/128KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/PCRAM/256KB/256KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/PCRAM/512KB/512KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/PCRAM/1024KB/1024KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/PCRAM/2048KB/2048KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/PCRAM/4096KB/4096KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/STTRAM/16KB/16KB.out,86384.290,1.648,10.160,10.761,1.594,43.931,141.192,308.993
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/STTRAM/32KB/32KB.out,43393.687,1.674,10.195,10.116,1.588,41.562,139.140,78.337
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/STTRAM/64KB/64KB.out,86787.374,1.688,10.202,10.116,1.588,44.843,142.420,156.675
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/STTRAM/128KB/128KB.out,173574.749,1.742,10.229,10.116,1.588,50.572,148.150,313.350
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/STTRAM/256KB/256KB.out,171126.657,1.812,10.288,8.314,1.588,52.608,151.261,163.981
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/STTRAM/512KB/512KB.out,413514.033,1.924,10.352,10.066,1.578,56.821,153.901,642.628
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/STTRAM/1024KB/1024KB.out,651458.769,2.102,10.432,9.967,1.578,69.456,165.642,679.355
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/STTRAM/2048KB/2048KB.out,903846.757,2.230,10.537,8.214,1.575,74.728,171.944,404.503
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/STTRAM/4096KB/4096KB.out,1550000.0,2.664,10.772,8.213,1.570,83.964,181.228,765.362
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/SRAM/16KB/16KB.out,46161.307,0.102,0.09,373.830,280.426,9.326,8.545,4.577
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/SRAM/32KB/32KB.out,92322.613,0.149,0.114,373.830,280.426,14.168,13.387,9.155
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/SRAM/64KB/64KB.out,188242.493,0.191,0.146,290.879,206.344,18.831,17.275,15.596
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/SRAM/128KB/128KB.out,260712.831,0.265,0.197,191.038,151.326,21.742,20.770,29.494
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/SRAM/256KB/256KB.out,292069.853,0.379,0.282,157.099,142.143,25.165,23.906,31.914
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/SRAM/512KB/512KB.out,638282.226,0.545,0.398,149.225,98.107,36.045,33.397,74.722
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/SRAM/1024KB/1024KB.out,892661.510,0.754,0.544,80.837,70.941,43.117,38.944,121.209
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/SRAM/2048KB/2048KB.out,1593000.0,1.154,0.77,74.786,59.551,62.400,54.081,229.041
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/SRAM/4096KB/4096KB.out,3010000.0,1.855,1.141,48.276,52.669,85.759,73.098,427.646
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/RRAM/16KB/16KB.out,141825.153,1.738,20.173,10.178,0.797,37.159,93.304,310.675
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/RRAM/32KB/32KB.out,74151.958,1.751,20.213,10.018,0.796,33.783,90.273,155.918
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/RRAM/64KB/64KB.out,148303.916,1.788,20.232,10.018,0.796,38.418,94.908,311.836
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/RRAM/128KB/128KB.out,295233.628,1.873,20.290,10.081,0.795,45.815,102.765,312.894
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/RRAM/256KB/256KB.out,309682.623,1.893,20.343,9.756,0.794,47.959,105.829,322.100
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/RRAM/512KB/512KB.out,334461.338,1.912,20.411,9.220,0.791,50.504,110.220,328.900
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/RRAM/1024KB/1024KB.out,472532.415,2.144,20.475,9.373,0.791,52.466,109.041,668.983
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/RRAM/2048KB/2048KB.out,678394.723,2.466,20.546,8.943,0.791,62.988,115.928,1398.0
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/RRAM/4096KB/4096KB.out,759598.369,2.514,20.627,8.624,0.789,66.526,120.385,1457.0
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/PCRAM/16KB/16KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/PCRAM/32KB/32KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/PCRAM/64KB/64KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/PCRAM/128KB/128KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/PCRAM/256KB/256KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/PCRAM/512KB/512KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/PCRAM/1024KB/1024KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/PCRAM/2048KB/2048KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/PCRAM/4096KB/4096KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/STTRAM/16KB/16KB.out,11093.172,1.865,10.400,6.607,1.570,30.881,131.272,19.892
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/STTRAM/32KB/32KB.out,16656.354,2.014,10.623,4.475,1.539,30.955,134.203,20.557
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/STTRAM/64KB/64KB.out,24360.965,2.053,10.649,4.472,1.534,31.329,134.404,21.298
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/STTRAM/128KB/128KB.out,43607.861,2.537,11.454,2.490,1.428,31.745,140.268,23.374
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/STTRAM/256KB/256KB.out,75636.693,2.647,11.535,2.488,1.419,32.808,140.631,24.711
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/STTRAM/512KB/512KB.out,132075.625,3.022,11.840,2.485,1.382,34.921,141.344,24.755
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/STTRAM/1024KB/1024KB.out,245580.037,4.388,12.841,2.478,1.275,39.057,142.704,24.830
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/STTRAM/2048KB/2048KB.out,472061.674,9.118,17.401,4.387,0.936,44.811,142.964,44.508
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/STTRAM/4096KB/4096KB.out,944123.348,9.204,17.444,4.387,0.936,51.656,149.808,89.017
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/SRAM/16KB/16KB.out,12776.990,0.436,0.435,103.626,51.864,2.382,1.664,1.780
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/SRAM/32KB/32KB.out,24447.693,0.699,0.699,71.254,28.855,3.414,2.009,3.374
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/SRAM/64KB/64KB.out,48895.387,0.703,0.701,71.254,28.855,4.751,3.346,6.748
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/SRAM/128KB/128KB.out,112095.860,1.510,1.506,45.697,12.033,6.748,4.524,15.616
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/SRAM/256KB/256KB.out,188911.152,1.563,1.554,40.493,11.647,9.480,6.722,26.013
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/SRAM/512KB/512KB.out,439635.715,4.485,4.471,21.183,3.775,13.357,8.979,60.222
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/SRAM/1024KB/1024KB.out,741484.223,4.583,4.546,19.676,3.728,18.934,13.471,100.445
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/SRAM/2048KB/2048KB.out,1741000.0,15.513,15.460,8.860,1.060,26.666,17.978,236.414
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/SRAM/4096KB/4096KB.out,2938000.0,15.769,15.620,8.499,1.055,37.996,27.121,394.579
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/RRAM/16KB/16KB.out,17014.210,1.891,20.556,7.109,0.786,20.666,92.914,19.543
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/RRAM/32KB/32KB.out,18357.733,2.021,20.721,5.209,0.781,21.463,108.384,19.853
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/RRAM/64KB/64KB.out,15382.798,2.262,20.959,4.847,0.771,23.346,110.105,20.222
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/RRAM/128KB/128KB.out,30765.595,2.275,20.966,4.847,0.771,25.941,112.700,40.443
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/RRAM/256KB/256KB.out,42492.439,2.163,20.753,7.585,0.778,30.056,93.719,79.921
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/RRAM/512KB/512KB.out,84984.878,2.176,20.759,7.585,0.778,32.685,96.348,159.843
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/RRAM/1024KB/1024KB.out,106947.124,2.468,21.065,5.847,0.767,37.234,108.433,163.993
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/RRAM/2048KB/2048KB.out,213894.248,2.549,21.106,5.847,0.767,43.848,115.047,327.985
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/RRAM/4096KB/4096KB.out,437278.285,2.392,20.837,7.384,0.778,53.502,115.833,675.044
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/PCRAM/16KB/16KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/PCRAM/32KB/32KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/PCRAM/64KB/64KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/PCRAM/128KB/128KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/PCRAM/256KB/256KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/PCRAM/512KB/512KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/PCRAM/1024KB/1024KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/PCRAM/2048KB/2048KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadDynamicEnergy/PCRAM/4096KB/4096KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/STTRAM/16KB/16KB.out,37254.377,1.964,10.497,9.457,1.555,166.430,129.617,153.995
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/STTRAM/32KB/32KB.out,67011.288,2.342,10.867,9.405,1.503,321.497,130.338,307.650
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/STTRAM/64KB/64KB.out,25040.568,2.317,10.840,9.395,1.504,33.459,130.979,39.267
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/STTRAM/128KB/128KB.out,41078.347,2.333,10.845,8.269,1.504,33.895,132.118,39.951
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/STTRAM/256KB/256KB.out,79979.024,3.688,12.194,9.293,1.337,36.603,133.347,78.848
